epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2199.38,1.06557,0.52998,0.89665,0.94522,0.92301,0.94786,0.56083,1.31276,0.57439,0.97684,0.000519875,0.000519875,0.000519875
61,2236.06,1.04243,0.50446,0.8849,0.95729,0.91247,0.95209,0.56212,1.33097,0.5714,0.98683,0.0005075,0.0005075,0.0005075
62,2272.76,1.03846,0.50897,0.89454,0.95041,0.91718,0.94096,0.54747,1.32108,0.55482,0.98045,0.000495125,0.000495125,0.000495125
63,2308.01,1.01813,0.50908,0.89499,0.94793,0.92996,0.94983,0.56672,1.30369,0.54431,0.98082,0.00048275,0.00048275,0.00048275
64,2343.86,1.02436,0.49726,0.88984,0.92927,0.89629,0.93386,0.55014,1.31414,0.56374,0.99015,0.000470375,0.000470375,0.000470375
65,2379.73,1.05306,0.51422,0.89706,0.92683,0.91669,0.94172,0.55859,1.28376,0.54595,0.97828,0.000458,0.000458,0.000458
66,2415.25,1.0075,0.50247,0.89486,0.94749,0.92022,0.95635,0.57599,1.2519,0.53164,0.97336,0.000445625,0.000445625,0.000445625
67,2450.91,1.05538,0.50612,0.88861,0.95505,0.91482,0.94454,0.54475,1.32695,0.55866,0.97308,0.00043325,0.00043325,0.00043325
68,2486.15,1.00779,0.50045,0.89492,0.9475,0.91704,0.95358,0.55872,1.31259,0.54704,0.98418,0.000420875,0.000420875,0.000420875
69,2522.37,1.04412,0.50359,0.89647,0.95079,0.91033,0.95478,0.58322,1.26591,0.53607,0.97977,0.0004085,0.0004085,0.0004085
70,2558.69,1.01773,0.49447,0.89178,0.93343,0.91913,0.95157,0.56633,1.31053,0.53954,0.98734,0.000396125,0.000396125,0.000396125
71,2594.99,0.99294,0.49553,0.89836,0.94413,0.92218,0.95124,0.56473,1.29757,0.53374,0.97568,0.00038375,0.00038375,0.00038375
72,2631.37,1.03723,0.49387,0.88978,0.94979,0.90634,0.95299,0.56297,1.30506,0.53668,0.96708,0.000371375,0.000371375,0.000371375
73,2667.98,1.00383,0.49185,0.89321,0.97215,0.90634,0.95353,0.567,1.27663,0.53669,0.95945,0.000359,0.000359,0.000359
74,2704.62,0.98078,0.47787,0.88203,0.95684,0.91507,0.95135,0.56723,1.30182,0.54675,0.96911,0.000346625,0.000346625,0.000346625
75,2741.02,0.98566,0.48174,0.88317,0.94437,0.91695,0.94962,0.57149,1.297,0.54688,0.97557,0.00033425,0.00033425,0.00033425
76,2776.75,1.00565,0.47911,0.87158,0.94847,0.92753,0.95664,0.57036,1.28609,0.54578,0.96599,0.000321875,0.000321875,0.000321875
77,2813.08,1.0015,0.4759,0.88461,0.92358,0.90634,0.94802,0.55817,1.31457,0.5561,0.96962,0.0003095,0.0003095,0.0003095
78,2848.61,1.00758,0.48816,0.89692,0.94658,0.90314,0.94918,0.57317,1.28214,0.55703,0.96385,0.000297125,0.000297125,0.000297125
79,2883.58,0.98196,0.46844,0.88299,0.95366,0.90059,0.94896,0.56898,1.27108,0.54032,0.96419,0.00028475,0.00028475,0.00028475
80,2918.65,0.96283,0.4667,0.8826,0.94857,0.88991,0.9493,0.58472,1.24646,0.54218,0.95911,0.000272375,0.000272375,0.000272375
81,2954.02,0.9736,0.45986,0.87786,0.94317,0.90718,0.94855,0.56934,1.27669,0.54842,0.96943,0.00026,0.00026,0.00026
